"9/29/23, 3:30 PM                                                      about:blank"
""
""
"Monthly Total Precipitation for Athens Area, GA (ThreadEx)"
""
"Year         Jan     Feb     Mar     Apr     May     Jun     Jul      Aug          Sep     Oct     Nov     Dec     Annual"
"1857         M       M       2.48    3.23    4.17    0.69    M        M            M       M       M       6.96    M"
""
"1858         6.96    4.21    2.35    7.02    3.02    4.76    5.47     2.25         3.74    M       M       M       M"
"1859         4.01    5.17    8.47    5.98    4.21    2.61    1.44     9.41         5.24    M       M       M       M"
"1860         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1861         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1862         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1863         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1864         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1865         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1866         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1867         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1868         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1869         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1870         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1871         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1872         M       M       M       M       M       M       M        M            M       M       2.91    3.65    M"
"1873         3.98    12.06   3.59    1.85    9.80    4.50    5.41     3.71         2.16    0.20    M       M       M"
"1874         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1875         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1876         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1877         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1878         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1879         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1880         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1881         M       M       M       M       M       M       M        M            M       M       M       M       M"
""
"1882         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1883         M       M       M       M       M       M       M        M            M       M       M       M       M"
"1884         M       M       M       M       0.82    10.46   5.70     2.62         0.01    0.51    3.76    5.97    M"
""
"1885         M       4.86    3.37    1.07    7.22    4.40    5.28     7.05         8.65    4.89    3.71    2.86    M"
"1886         6.47    2.51    9.74    4.59    6.84    9.08    1.97     2.78         0.96    0.01    3.61    4.39    52.95"
"1887         2.51    4.73    2.79    1.11    3.46    4.09    14.47    7.84         1.49    2.39    0.41    5.50    50.79"
"1888         4.53    6.23    6.64    1.40    5.85    1.89    1.79     4.07         10.59   5.09    6.61    4.64    59.33"
""
"1889         5.84    5.68    2.97    2.15    3.16    5.37    2.46     M            4.06    2.10    3.72    0.63    M"
"1890         2.56    2.89    4.32    1.42    9.27    5.44    8.67     5.14         6.97    6.11    0.26    2.60    55.65"
"1891         9.54    6.23    11.53   2.08    2.84    4.85    6.46     3.64         0.94    0.16    4.20    2.57    55.04"
""
"1892         9.57    3.07    5.52    4.45    1.75    4.94    4.89     3.42         2.56    0.60    M       3.55    M"
"1893         1.56    8.55    2.47    2.20    4.05    5.67    2.91     4.25         8.65    0.92    1.39    1.96    44.58"
"1894         4.79    4.64    2.34    1.76    2.06    4.77    4.74     3.55         5.77    4.12    1.61    4.39    44.54"
""
"1895         7.55    M       M       M       M       M       M        7.20         1.25    1.27    2.40    M       M"
"1896         M       M       M       M       1.78    3.93    10.31    1.00         0.66    1.82    M       M       M"
""
"Mean         4.59    4.63    4.98    3.81    3.75    4.22    4.90     4.22         3.46    3.08    3.23    4.31    48.98"
"12.83   12.06   14.15   11.60   11.34   13.25   14.47    18.43        11.84   11.23   14.98   12.37   71.39"
"Max"
"1936    1873    1929    1936    1959    1994    1887     1908         2004    1937    1948    2015    1964"
""
"0.64    0.66    0.99    0.08    0.11    0.69    0.93     0.09         0.01    T       0.23    0.63    28.61"
"Min"
"1981    1898    1905    1915    1914    1857    1947     1951         1884    1963    1910    1889    1954"
""
""
"about:blank                                                                                                                  1/5"
"9/29/23, 3:30 PM                                                      about:blank"
""
"Year         Jan     Feb     Mar     Apr     May     Jun     Jul      Aug          Sep     Oct     Nov     Dec     Annual"
"1897         M       M       M       M       0.61    2.85    3.19     4.17         0.64    3.12    1.10    2.83    M"
""
"1898         2.93    0.66    3.55    5.58    2.48    1.53    5.43     5.73         6.36    7.40    M       3.81    M"
"1899         7.21    8.56    M       1.98    0.83    1.55    M        3.93         1.45    3.59    1.35    2.78    M"
"1900         2.10    M       6.54    7.76    2.97    11.39   4.13     1.27         3.89    4.80    3.74    5.68    M"
"1901         4.14    3.57    4.78    5.59    4.90    6.53    3.51     17.87        3.30    1.05    0.77    5.42    61.43"
""
"1902         2.70    M       6.06    1.73    0.86    3.38    3.25     3.56         4.82    1.55    2.72    M       M"
"1903         3.11    10.69   9.33    2.62    2.78    4.12    1.84     6.47         4.98    2.05    1.76    1.84    51.59"
"1904         2.92    5.15    3.10    1.69    1.76    2.93    2.55     5.37         1.05    0.99    2.58    4.44    34.53"
""
"1905         2.75    5.89    0.99    3.25    5.79    3.04    5.61     6.82         0.54    3.32    2.09    M       M"
"1906         8.93    1.26    9.14    2.79    3.06    7.36    9.30     3.08         5.81    2.05    1.91    3.55    58.24"
"1907         1.21    5.36    2.03    4.84    2.87    2.45    5.58     6.61         6.81    0.26    6.06    6.35    50.43"
""
"1908         3.93    7.26    4.58    6.57    1.97    3.82    3.81     18.43        1.88    4.01    2.34    4.34    62.94"
"1909         M       6.84    6.05    3.20    5.56    5.95    7.56     1.90         4.03    3.30    1.56    3.42    M"
"1910         3.75    5.42    4.18    4.20    3.81    8.28    7.24     2.41         2.24    2.28    0.23    3.22    47.26"
"1911         2.15    3.32    3.26    6.51    0.73    1.59    7.38     8.52         0.87    5.53    4.35    5.81    50.02"
""
"1912         4.23    6.10    7.65    4.84    4.27    6.94    6.28     2.91         4.14    2.25    1.84    2.75    54.20"
"1913         4.53    4.35    7.82    1.76    2.92    5.33    3.58     2.43         5.52    4.03    0.32    4.53    47.12"
"1914         1.61    3.25    2.67    3.25    0.11    2.87    3.81     4.09         2.37    7.95    5.90    M       M"
""
"1915         5.21    3.77    2.81    0.08    6.76    2.39    3.39     5.06         1.13    5.59    2.02    7.01    45.22"
"1916         2.65    4.80    2.02    1.84    1.95    3.38    8.49     3.24         2.12    2.27    1.73    2.62    37.11"
"1917         3.96    5.64    10.89   3.17    2.46    2.17    2.02     4.34         5.99    0.89    1.41    1.24    44.18"
""
"1918         8.07    1.45    2.49    3.93    2.29    3.36    8.56     1.94         3.40    8.21    3.52    7.84    55.06"
"1919         6.28    5.02    3.38    2.24    3.94    7.80    11.79    2.29         1.61    5.21    M       10.82   M"
"1920         5.16    3.83    8.22    3.96    4.86    0.69    3.31     7.18         2.50    0.30    M       4.48    M"
"1921         3.70    4.79    1.05    1.80    2.09    2.00    3.94     6.14         2.82    1.77    8.25    1.30    39.65"
""
"1922         5.52    8.61    8.53    5.76    5.35    4.13    7.27     1.83         1.10    3.35    0.70    3.54    55.69"
"1923         4.28    5.73    M       5.25    11.32   2.30    3.91     4.86         1.60    1.05    3.60    5.32    M"
"1924         5.50    2.62    2.35    6.88    3.64    2.51    3.66     2.20         10.16   0.90    0.85    5.95    47.22"
""
"1925         9.85    1.77    2.80    1.60    2.06    1.15    1.17     0.35         0.30    4.46    3.32    3.37    32.20"
"1926         M       5.40    5.07    2.00    0.97    2.29    9.08     6.95         1.39    2.80    2.32    5.47    M"
"1927         1.47    5.05    3.66    M       2.25    3.74    5.18     2.76         M       2.55    M       M       M"
""
"1928         1.70    4.39    4.33    5.49    5.79    6.59    M        M            M       2.26    M       M       M"
"1929         M       11.25   14.15   4.46    8.93    2.48    6.65     0.21         8.72    6.84    3.78    3.83    M"
"1930         4.07    0.81    3.63    2.98    4.38    2.46    2.59     1.27         6.49    1.41    5.72    4.68    40.49"
"1931         3.04    3.40    2.69    5.04    3.66    1.46    5.82     2.10         1.21    0.90    0.47    11.31   41.10"
""
"1932         5.53    5.46    4.40    3.34    4.20    7.00    3.82     1.84         1.21    6.04    4.44    9.89    57.17"
"1933         2.47    6.29    2.93    3.08    2.87    2.24    1.85     4.93         2.05    1.45    1.47    3.73    35.36"
"1934         2.73    4.80    5.34    5.40    4.32    6.52    6.02     4.20         1.33    5.09    1.67    3.26    50.68"
""
"1935         3.10    5.15    4.84    8.16    3.58    2.29    5.72     1.69         1.96    1.66    3.93    3.87    45.95"
"1936         12.83   6.50    5.88    11.60   0.21    2.98    2.14     7.16         3.81    5.41    1.71    6.48    66.71"
"1937         9.27    5.64    2.98    7.86    2.33    6.95    1.92     6.02         0.75    11.23   0.99    1.29    57.23"
"1938         2.20    0.92    3.99    7.13    3.57    8.62    8.54     2.55         1.77    0.21    3.67    3.33    46.50"
""
"Mean         4.59    4.63    4.98    3.81    3.75    4.22    4.90     4.22         3.46    3.08    3.23    4.31    48.98"
""
"12.83   12.06   14.15   11.60   11.34   13.25   14.47    18.43        11.84   11.23   14.98   12.37   71.39"
"Max"
"1936    1873    1929    1936    1959    1994    1887     1908         2004    1937    1948    2015    1964"
"0.64    0.66    0.99    0.08    0.11    0.69    0.93     0.09         0.01    T       0.23    0.63    28.61"
"Min"
"1981    1898    1905    1915    1914    1857    1947     1951         1884    1963    1910    1889    1954"
""
""
"about:blank                                                                                                                  2/5"
"9/29/23, 3:30 PM                                                      about:blank"
""
"Year         Jan     Feb     Mar     Apr     May     Jun     Jul      Aug          Sep     Oct     Nov     Dec     Annual"
"1939         4.94    8.43    4.41    2.30    4.25    2.01    5.00     5.22         2.43    1.08    0.62    3.08    43.77"
""
"1940         5.50    5.04    4.78    2.88    2.33    3.35    7.85     7.81         0.36    0.80    4.19    4.44    49.33"
"1941         2.63    1.79    5.75    1.20    0.65    5.77    6.49     3.46         1.71    1.30    1.24    7.97    39.96"
"1942         2.99    3.78    9.30    1.00    7.23    2.78    6.65     8.19         3.47    3.95    1.31    6.63    57.28"
"1943         8.31    1.20    7.02    5.60    1.87    7.57    6.91     2.51         2.90    0.24    2.21    3.63    49.97"
""
"1944         4.16    9.03    9.22    6.77    2.64    2.81    1.70     2.88         M       2.58    2.17    2.32    M"
"1945         2.38    M       2.77    8.30    M       0.95    5.69     4.36         6.49    1.86    2.77    8.45    M"
"1946         M       4.89    5.01    5.16    4.36    4.05    2.55     2.98         3.27    5.03    2.23    1.05    M"
""
"1947         9.05    2.10    5.85    4.32    4.77    6.21    0.93     3.85         1.31    4.86    8.10    4.46    55.81"
"1948         4.71    7.04    8.17    2.51    4.46    4.61    5.91     5.16         3.03    1.37    14.98   4.42    66.37"
"1949         4.33    7.14    2.55    6.79    4.32    3.32    3.97     4.47         2.66    2.83    1.46    3.01    46.85"
""
"1950         3.15    2.61    5.14    0.69    4.65    4.12    4.84     1.84         3.37    6.02    0.33    4.65    41.41"
"1951         2.65    2.16    4.82    3.30    0.55    7.87    8.01     0.09         4.73    1.37    1.88    6.42    43.85"
"1952         2.63    3.56    9.39    2.32    3.15    4.10    2.91     6.43         1.05    0.66    1.81    4.51    42.52"
"1953         6.77    5.66    3.61    2.63    6.04    4.65    5.08     1.40         6.50    0.20    0.75    8.04    51.33"
""
"1954         3.11    1.61    2.93    1.55    2.51    2.81    3.95     2.44         0.52    0.25    4.44    2.49    28.61"
"1955         5.32    4.55    2.61    2.27    4.34    2.36    5.70     2.80         1.17    1.64    2.99    1.18    36.93"
"1956         2.11    5.66    5.44    6.73    0.82    2.99    6.03     0.48         6.56    2.97    2.14    3.78    45.71"
""
"1957         5.05    3.10    3.95    3.94    5.94    1.32    1.36     1.60         6.53    6.13    9.16    3.42    51.50"
"1958         4.09    4.95    6.07    4.57    3.94    0.87    5.25     4.21         1.22    0.93    1.50    2.57    40.17"
"1959         3.84    4.76    5.96    2.40    11.34   1.97    10.39    1.24         5.54    5.58    2.34    3.08    58.44"
""
"1960         9.47    6.33    4.73    3.34    1.89    1.92    5.64     5.02         6.09    2.30    1.01    2.82    50.56"
"1961         2.25    9.24    6.98    6.40    3.38    4.94    6.95     7.43         1.75    0.20    2.73    7.65    59.90"
"1962         5.23    5.38    6.63    6.22    1.57    4.12    3.85     3.67         5.30    1.38    4.85    2.44    50.64"
"1963         5.91    3.76    5.98    7.90    5.83    12.22   4.74     0.87         4.64    T       5.44    5.79    63.08"
""
"1964         7.41    5.18    10.90   9.54    4.77    3.51    10.53    3.78         1.84    7.73    2.52    3.68    71.39"
"1965         1.83    4.92    7.00    4.66    0.93    6.02    4.41     1.44         5.27    2.90    1.50    1.03    41.91"
"1966         8.56    7.52    4.73    4.55    6.50    3.36    2.50     6.27         2.80    3.54    3.27    4.74    58.34"
""
"1967         4.27    4.14    2.27    4.87    5.69    13.21   7.98     5.91         1.28    3.60    6.36    6.58    66.16"
"1968         5.26    1.45    4.34    4.60    6.39    4.94    8.50     3.25         1.94    3.06    6.57    5.94    56.24"
"1969         4.95    3.38    4.86    5.69    4.61    1.49    2.28     5.92         5.19    1.98    2.02    3.88    46.25"
""
"1970         2.28    2.06    6.35    1.70    3.77    1.36    4.07     3.04         7.09    5.54    1.28    2.87    41.41"
"1971         4.06    5.62    7.91    4.17    3.05    4.40    3.27     4.56         2.75    2.95    4.02    2.81    49.57"
"1972         6.46    2.94    3.89    1.55    6.02    5.72    4.69     2.64         0.69    2.43    3.57    8.42    49.02"
"1973         4.28    2.68    9.86    3.58    8.02    3.18    2.15     3.09         4.09    0.66    1.78    6.97    50.34"
""
"1974         3.68    4.98    2.32    3.81    9.73    5.04    5.03     5.99         1.32    0.40    3.11    4.58    49.99"
"1975         5.55    6.43    10.12   2.80    7.21    3.18    6.55     3.66         6.09    3.83    3.86    2.76    62.04"
"1976         4.06    2.07    8.55    0.74    8.50    2.47    2.97     5.31         3.01    6.22    5.25    5.28    54.43"
""
"1977         4.14    1.79    5.99    1.86    0.88    1.76    5.58     6.33         3.35    7.41    4.86    2.19    46.14"
"1978         6.92    0.75    3.48    2.78    4.82    2.39    6.41     4.35         1.15    0.97    2.50    3.52    40.04"
"1979         6.54    6.21    2.72    8.10    3.68    2.51    5.94     3.45         2.44    2.56    3.50    1.38    49.03"
"1980         6.76    1.84    10.00   2.68    7.52    3.43    1.69     2.55         5.55    1.48    2.66    1.90    48.06"
""
"Mean         4.59    4.63    4.98    3.81    3.75    4.22    4.90     4.22         3.46    3.08    3.23    4.31    48.98"
""
"12.83   12.06   14.15   11.60   11.34   13.25   14.47    18.43        11.84   11.23   14.98   12.37   71.39"
"Max"
"1936    1873    1929    1936    1959    1994    1887     1908         2004    1937    1948    2015    1964"
"0.64    0.66    0.99    0.08    0.11    0.69    0.93     0.09         0.01    T       0.23    0.63    28.61"
"Min"
"1981    1898    1905    1915    1914    1857    1947     1951         1884    1963    1910    1889    1954"
""
""
"about:blank                                                                                                                  3/5"
"9/29/23, 3:30 PM                                                      about:blank"
""
"Year         Jan     Feb     Mar     Apr     May     Jun     Jul      Aug          Sep     Oct     Nov     Dec     Annual"
"1981         0.64    6.73    2.45    2.10    3.67    1.50    2.32     1.00         1.04    2.06    1.81    7.57    32.89"
""
"1982         4.83    7.07    1.88    5.74    4.33    3.65    3.13     3.10         2.19    4.56    5.56    3.56    49.60"
"1983         3.19    5.42    6.10    5.17    2.30    3.17    1.99     2.06         5.62    3.64    6.90    8.22    53.78"
"1984         4.50    5.94    5.18    4.84    3.40    3.79    10.20    3.59         0.72    2.75    2.32    2.62    49.85"
"1985         4.11    4.62    1.15    1.73    3.81    2.08    6.36     2.39         0.62    5.15    4.99    1.39    38.40"
""
"1986         0.76    1.65    3.27    1.22    2.20    2.13    3.63     3.76         1.94    7.65    4.77    3.03    36.01"
"1987         6.29    5.17    4.29    0.89    2.30    3.34    4.83     0.98         2.39    0.36    2.61    2.39    35.84"
"1988         5.35    2.88    2.53    3.39    0.41    0.91    1.67     2.52         5.37    2.33    4.19    0.81    32.36"
""
"1989         2.10    3.21    3.96    4.20    3.99    6.21    6.20     1.97         10.30   5.85    3.51    5.29    56.79"
"1990         5.74    7.47    8.17    2.15    1.96    1.93    6.13     6.21         3.15    5.17    1.38    3.28    52.74"
"1991         6.32    3.32    6.07    4.52    5.78    10.94   6.17     5.19         2.22    0.12    1.58    3.19    55.42"
""
"1992         3.34    4.75    4.14    1.08    1.48    4.39    4.17     6.19         5.72    2.80    8.25    5.71    52.02"
"1993         4.40    5.01    7.35    2.73    3.24    1.36    1.54     2.03         3.23    3.85    3.43    2.83    41.00"
"1994         3.91    3.25    5.88    3.03    1.96    13.25   8.77     7.37         4.28    6.68    3.52    1.94    63.84"
"1995         4.88    6.39    2.61    3.02    4.33    6.54    2.28     7.22         3.41    7.29    5.03    2.52    55.52"
""
"1996         6.71    3.20    6.90    3.35    2.08    2.99    4.53     3.88         3.76    0.80    3.95    3.34    45.49"
"1997         5.23    7.72    1.66    3.99    2.79    5.01    4.88     1.55         6.79    7.75    3.52    5.91    56.80"
"1998         5.87    7.72    4.99    10.92   3.08    1.95    2.38     2.62         4.46    2.30    2.06    1.85    50.20"
""
"1999         5.45    2.74    2.75    2.51    1.16    6.95    3.49     4.09         3.29    3.78    2.70    2.54    41.45"
"2000         4.48    1.99    3.41    1.70    2.16    1.98    3.36     3.67         4.81    0.23    4.20    3.46    35.45"
"2001         2.75    3.03    8.58    1.83    3.03    5.14    10.38    0.85         1.57    0.42    0.65    1.49    39.72"
""
"2002         4.51    2.25    6.53    1.64    3.17    4.77    2.26     0.14         7.47    3.29    4.82    5.44    46.29"
"2003         1.74    4.54    5.67    2.50    7.98    5.98    8.27     3.41         1.69    2.07    3.94    2.29    50.08"
"2004         2.52    4.28    1.05    0.87    1.32    3.68    1.84     3.87         11.84   0.98    7.95    2.80    43.00"
"2005         2.59    4.89    6.85    5.87    2.67    10.25   9.35     5.47         0.17    2.97    2.78    4.56    58.42"
""
"2006         4.26    4.71    2.53    2.35    2.17    1.93    3.66     5.76         2.22    3.52    3.18    3.91    40.20"
"2007         3.48    2.92    3.89    1.64    1.56    2.17    3.48     1.72         0.53    2.35    2.35    5.42    31.51"
"2008         2.60    3.56    3.48    3.00    2.23    1.22    3.95     2.79         2.13    5.12    2.63    3.66    36.37"
""
"2009         2.70    3.67    7.05    4.47    3.58    1.66    1.33     2.70         9.86    9.14    5.17    8.87    60.20"
"2010         6.20    4.21    2.33    1.86    5.89    4.55    1.40     7.62         5.35    1.42    4.91    1.92    47.66"
"2011         3.32    4.72    6.65    2.62    0.82    2.44    1.46     2.44         1.55    4.35    3.08    3.68    37.13"
""
"2012         3.32    1.50    3.17    1.36    2.67    2.95    5.53     3.23         4.88    1.93    0.96    5.86    37.36"
"2013         4.97    6.36    4.35    3.77    3.63    8.21    9.19     5.68         2.42    1.27    2.42    7.62    59.89"
"2014         4.68    3.96    3.37    4.17    3.46    3.74    4.22     1.89         4.82    3.41    3.04    4.69    45.45"
"2015         2.98    3.99    2.79    8.01    2.63    2.76    5.08     6.78         3.48    5.00    9.30    12.37   65.17"
""
"2016         3.68    4.49    1.95    2.57    2.49    4.09    1.60     10.10        1.22    0.03    2.24    2.42    36.88"
"2017         6.51    1.19    4.31    6.86    6.24    8.33    3.08     5.47         4.19    5.71    1.22    2.75    55.86"
"2018         4.63    5.78    3.18    5.49    9.31    7.28    4.98     4.36         1.75    4.26    7.35    10.89   69.26"
""
"2019         5.34    3.61    2.09    3.38    1.62    7.03    1.37     8.78         1.40    3.81    2.14    5.74    46.31"
"2020         7.49    11.05   5.42    4.52    3.75    2.66    1.90     9.54         6.08    3.45    4.77    3.04    63.67"
"2021         4.65    2.76    4.36    2.81    4.05    3.97    6.41     6.80         2.02    6.61    0.84    3.68    48.96"
"2022         3.14    4.00    5.60    2.92    2.17    2.01    7.20     3.18         2.64    1.30    5.97    4.77    44.90"
""
"Mean         4.59    4.63    4.98    3.81    3.75    4.22    4.90     4.22         3.46    3.08    3.23    4.31    48.98"
""
"12.83   12.06   14.15   11.60   11.34   13.25   14.47    18.43        11.84   11.23   14.98   12.37   71.39"
"Max"
"1936    1873    1929    1936    1959    1994    1887     1908         2004    1937    1948    2015    1964"
"0.64    0.66    0.99    0.08    0.11    0.69    0.93     0.09         0.01    T       0.23    0.63    28.61"
"Min"
"1981    1898    1905    1915    1914    1857    1947     1951         1884    1963    1910    1889    1954"
""
""
"about:blank                                                                                                                  4/5"
"9/29/23, 3:30 PM                                                      about:blank"
""
"Year         Jan     Feb     Mar     Apr     May     Jun     Jul      Aug          Sep     Oct     Nov     Dec     Annual"
"2023         9.00    3.12    4.15    6.04    3.03    7.95    3.79     5.13         M       M       M       M       M"
""
"Mean         4.59    4.63    4.98    3.81    3.75    4.22    4.90     4.22         3.46    3.08    3.23    4.31    48.98"
"12.83   12.06   14.15   11.60   11.34   13.25   14.47    18.43        11.84   11.23   14.98   12.37   71.39"
"Max"
"1936    1873    1929    1936    1959    1994    1887     1908         2004    1937    1948    2015    1964"
"0.64    0.66    0.99    0.08    0.11    0.69    0.93     0.09         0.01    T       0.23    0.63    28.61"
"Min"
"1981    1898    1905    1915    1914    1857    1947     1951         1884    1963    1910    1889    1954"
""
""
""
""
"about:blank                                                                                                                  5/5"
""
